zona;data_mostra;parametre;valor;unitat
ZONA RANXOS;18/03/2026;Clorurs;684.8;mg/L
ZONA RANXOS;18/03/2026;Nitrats;10.4;mg/L

ZONA BONMONT;20/04/202;Microbiologia;Correcte;
ZONA BONMONT;20/04/202;Organolèptic;Correcte;
ZONA BONMONT;20/04/202;pH;7.7;unitats pH
ZONA BONMONT;20/04/202;Conductivitat;573;µS/cm
ZONA BONMONT;20/04/202;Terbolesa;0.20;UNF
ZONA BONMONT;20/04/202;Clor lliure;0.76;mg/L
ZONA BONMONT;29/10/2025;Duresa;293.4;mg/L CaCO3
ZONA BONMONT;18/03/2026;Clorurs;32.0;mg/L
ZONA BONMONT;18/03/2026;Nitrats;7.9;mg/L

ZONA VIA MARINA;23/04/2026;Microbiologia;Correcte;
ZONA VIA MARINA;23/04/2026;Organolèptic;Correcte;
ZONA VIA MARINA;23/04/2026;pH;7.9;unitats pH
ZONA VIA MARINA;23/04/2026;Conductivitat;829;µS/cm
ZONA VIA MARINA;23/04/2026;Terbolesa;0.20;UNF
ZONA VIA MARINA;23/04/2026;Clor lliure;0.46;mg/L
ZONA VIA MARINA;18/02/2026;Duresa;419.3;mg/L CaCO3
ZONA VIA MARINA;18/02/2026;Clorurs;138.26;mg/L
ZONA VIA MARINA;18/02/2026;Nitrats;15.87;mg/L
